fgi_bucket,account,trades,avg_pnl,total_pnl
greed,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,8039,31.982895000746364,257110.492911
neutral,0x083384f897ee0f19899168e3b1bec365f52a9012,1349,493.93150912824314,666313.605814
neutral,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,1692,0.9270321767139481,1568.5384430000001
neutral,0x271b280974205ca63b716753467d5a371de622ab,600,-31.730567601666667,-19038.340561
neutral,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,1411,5.080194675407513,7168.154687
neutral,0x2c229d22b100a7beb69122eed721cee9b24011dd,1233,40.26846058961882,49651.011907
neutral,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,145,6.356585593103449,921.7049110000002
neutral,0x39cef799f8b69da1995852eea189df24eb5cae3c,272,40.26929397058824,10953.24796
neutral,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,29,400.4535276896552,11613.152303
neutral,0x420ab45e0bd8863569a5efbb9c05d91f40624641,53,1401.7672359433964,74293.663505
neutral,0x430f09841d65beb3f27765503d0f850b8bce7713,544,375.31605003308823,204171.931218
neutral,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,1087,8.630551215271389,9381.409171
neutral,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,764,128.70981168717276,98334.296129
neutral,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1770,40.510088498870054,71702.85664299999
neutral,0x513b8629fe877bb581bf244e326a047b249c4ff1,5824,102.50892149004122,597011.958758
neutral,0x6d6a4b953f202f8df5bed40692e7fd865318264a,126,11.138417253968253,1403.440574
neutral,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,101,-26.237623762376238,-2650.0
neutral,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,205,-39.38340716585366,-8073.5984690000005
neutral,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2546,9.252741477611941,23557.479802
neutral,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,230,4.515063278260869,1038.464554
neutral,0x8170715b3b381dffb7062c0298972d4727a0a63b,1346,60.97501259881129,82072.366958
neutral,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1484,15.007086100404312,22270.515773
neutral,0x8477e447846c758f5a675856001ea72298fd9cb5,2912,0.906910424107143,2640.9231550000004
neutral,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,368,33.276915894021734,12245.905048999999
neutral,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,8728,3.5424244736480293,30918.280806
neutral,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,7,-0.3213599999999988,-2.2495199999999915
neutral,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,100,99.93641503999999,9993.641504
neutral,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,120,70.83069649166667,8499.683579
neutral,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,5399,97.63065449416558,527107.903614
neutral,0xb899e522b5715391ae1d4f137653e7906c5e2115,321,12.674507314641744,4068.5168479999998
neutral,0xbaaaf6571ab7d571043ff1e313a9609a10637864,5302,46.30703774349302,245519.914116
neutral,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,627,115.46584068261564,72397.082108
neutral,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,11340,6.126082208906526,69469.772249
neutral_fear,0x083384f897ee0f19899168e3b1bec365f52a9012,641,833.0337954804993,533974.662903
neutral_fear,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2578,2.002340088828549,5162.032749
neutral_fear,0x271b280974205ca63b716753467d5a371de622ab,1868,16.125219748394002,30121.91049
neutral_fear,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,890,11.5265328247191,10258.614214
neutral_fear,0x2c229d22b100a7beb69122eed721cee9b24011dd,116,26.682690120689657,3095.192054
neutral_fear,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,158,-22.365016056962027,-3533.6725370000004
neutral_fear,0x39cef799f8b69da1995852eea189df24eb5cae3c,1329,41.147495191121145,54685.021109
neutral_fear,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,52,12.74173273076923,662.570102
neutral_fear,0x420ab45e0bd8863569a5efbb9c05d91f40624641,93,1071.486863967742,99648.278349
